STRING	LEN	FREQ	Orth	Orth_F	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C	UN1_F	UN1_C	UN2_F	UN2_C	UN3_F	UN3_C
cross	5	53.01	6	9.71	9417.31	590.2	1196.16	48.5	119.56	8.67	242023.76	39408	11702.02	2515	1031.33	252
crowd	5	51.34	2	13.95	7708.13	324.4	824.9	45	164.32	9	188279.58	24284.2	10054.78	1540.75	725	175
daily	5	83.29	6	8.59	9060.47	459.8	1111.28	51.25	118.19	7	220681.42	29973.8	12290.33	2105.25	751.37	190.67
death	5	233.15	2	19.19	7176.54	371.6	1708.54	56.25	274.48	7	341274.43	35431.6	54524.09	4067	2374.89	274.67
doing	5	270.87	2	376.17	10144.23	358.4	2759.93	48.75	1483.97	10.33	233139.29	31693.4	31800.23	5626.5	10709.43	2420.67
doors	5	60.39	4	1.31	11289.37	637.2	918.09	57	63.6	2.67	263858.31	35607	17257.75	2549.25	869.05	194.67
doubt	5	150.64	0	0	8805.28	323.6	2321.1	31.25	154.44	1.67	213187.14	24358.2	12915.29	1229	414.63	53
dozen	5	60.15	3	1.29	9260.2	430	750	28.5	62.96	3.33	260085.52	31795.2	13567.15	2034.75	124.44	23.33
drawn	5	66.22	6	6.04	5737.62	286.8	675.08	44.75	109.84	9	234026.24	29250.6	6649.05	1620.75	417.18	105.67
dream	5	59.97	4	12.9	6142.53	262.6	1233.67	40.75	469.48	8.33	283019.68	36128.8	23662.92	3022.25	3010.02	317.33
dress	5	88.41	5	28.32	9399.21	547.2	1335.14	36.75	260.76	6.67	291610.52	45151	27239.08	5777.5	4691.68	1261.33
drink	5	123.15	4	20.39	7580.52	307.6	2032.15	62.75	527.64	9.67	206518.66	30579.6	26489.86	4838.5	1842.39	443.33
drive	5	90.49	1	66.75	9231.74	338	907.56	47.75	185.5	6	255431.36	35608	14959.83	2573	2387.05	393.33
drove	5	66.75	5	32.97	8406.41	332	1009.49	47	212.07	7.33	258971.36	32592.4	15101.88	2019	2192.05	324.33
early	5	325.6	1	1.07	7551.76	423.6	1207.18	48.75	384.5	3.67	279150.88	36626	19558.35	2890	2879.97	228.33
earth	5	162	0	0	6392.76	367.8	1357.3	46.75	552.53	8.33	356571.85	39067	48746.4	2772	3731.51	379.33
eight	5	98.4	9	274.2	6061.29	218.8	2030.65	12.5	1775.07	8.33	309523.69	35835.2	7593.67	812.5	4011.81	384.67
empty	5	86.32	0	0	3115.04	231.4	294.5	18.5	86.32	1	234903.72	28347	6501.04	1127.25	574.11	90
ended	5	57.41	0	0	7569.6	336.6	1299.77	80.25	303.16	6	332423.24	41640.4	37964.21	5069.5	2865.77	589.67
enemy	5	52.06	1	0.48	5355.23	243.8	216.52	15.25	52.37	1.67	302351.65	37930	20708.21	3033.5	854.18	211.33
enjoy	5	66.16	1	1.84	2502.96	187.6	164.74	6	66.16	1	243272.14	29162.2	12015.57	1665.25	189.6	21.33
equal	5	61.16	0	0	4409.46	165.8	401.68	17.5	102.9	3	239004.45	30856	9931.57	1726.75	1372.74	238
event	5	59.85	1	0	8017.42	219.2	816.75	22.25	309.88	4.33	352522.18	41939	27905.11	3618.25	8461.85	931.33
every	5	546.44	1	0.65	6667.49	248.6	1887.97	24.5	574.42	5	281270.53	36201.6	27747.9	3889	6657.3	518.33
exist	5	62.59	0	0	7458.67	218	707.22	24	89.4	4.67	297966.72	40488.6	18512.15	3126.25	1627.48	505.33
extra	5	80.32	0	0	3496.51	142.6	136.22	9.75	80.47	1.33	309072.22	36885	9038.88	2292.25	1765.33	417
faces	5	68.18	13	11.16	9706.54	733.4	1168.73	108.5	144.88	8.33	275653.38	37344.6	18483.02	4340	2184.14	298.67
facts	5	61.28	4	17.31	7079.57	615.4	501.38	69.5	102.01	4	249833.83	32294.2	9758.7	1825.75	1877.59	219.67
faith	5	50.87	1	1.19	8418.79	406	1030.12	44	89.26	5	283786.68	29751.8	45933.1	1923.25	3309.2	93
feels	5	51.16	7	6.61	11288.35	592.2	614.66	55	73.81	5.33	314234.59	43006.6	11090.79	1582	961.58	116.33
field	5	129.52	3	6.78	10852.89	353.6	2229.54	25.75	144.53	3.33	251599.75	34052.2	11964.13	2093.25	511.26	152
fifty	5	72.28	2	13.39	5158.13	339	771.03	33	101.63	5	193406.3	22282.4	6054.16	893	273.01	40.33
fight	5	97.87	9	274.26	6633.35	248	2489.34	22.5	1774.89	8.33	224233.31	24713.8	8236.71	1041	3938.82	360.67
final	5	114.41	0	0	5597.04	312.6	1132.82	51.25	139.67	6.33	247759.66	33275.6	31753.81	5357.75	2028.74	406.67
first	5	1210.08	0	0	8407.68	336.2	1853	36.75	1266.06	4	259815.09	36941.6	16490.05	3198.25	1672.38	115.67
fixed	5	57.59	7	13.16	9116.07	424.8	1275.21	82.5	95.94	7.33	219033.09	28480	12338.47	2251.75	127.47	35.67
flesh	5	55.21	3	34.8	7901.84	258	828.11	35.5	89.28	3	258918.23	32791.2	19828.92	5116.75	1200.84	487.33
floor	5	168.19	3	14.34	6919.88	285	851.73	45.75	267.96	7.33	230805.13	28639.6	15882.72	2268.75	1250.46	140.67
force	5	167.41	3	2.97	11918.58	422.4	1482.54	40.75	244.28	5.67	259757.13	33328.2	18457.85	2069	4836.68	246.33
forms	5	92.51	10	6.69	9497.69	612.4	1132.97	47.75	265.56	10	205461.24	29230.8	14971.52	1655.5	5091.51	285
found	5	490.81	8	77.72	11264.47	387.4	3156.61	44.5	1090.88	8.33	197799.25	23946.4	28952.01	2361.75	3579.96	405.67
fresh	5	73.83	1	55.21	8409.13	278	1133.13	35.25	179.13	5.33	273490.32	34793.4	28650.57	5486	2528.98	528.33
front	5	263.08	2	4.22	9125.86	339.2	1346.71	50	350.13	7.33	267953.37	31530	26343.12	3941	2820.77	281.33
fruit	5	59.49	0	0	8260.42	290.8	380.11	26.25	59.65	2	230650.72	30463.8	13154.04	1536.75	432.21	92.33
fully	5	72.22	7	3.34	5712.48	359	568.19	53.5	156.43	15	126513.34	18822	13334.69	2345.5	2164.64	527.67
games	5	64.13	12	8.89	9771.3	730.4	1367.46	114.5	332.8	11.67	270705.19	37533.2	19148.38	4325	1739.03	192.33
girls	5	165.75	2	1.9	9554.89	591.8	1152.66	43.75	168.98	3.33	213221.14	36932	5622.79	1005.5	421.88	44.33
given	5	334.71	3	29.91	8184.45	392	1651.22	40.5	588.38	10.67	247715.14	34616.4	21383.01	2897.75	3248.32	464.33
gives	5	87.22	10	50.84	9806.5	662.2	2012.64	114	554.31	16.33	243116.87	37012.4	19255.37	4337.75	2759.91	444.33
glass	5	130.41	3	97.77	8474.98	563.2	1031.49	44	325.33	8	232657.38	37932.8	15085.75	2617.75	1487.56	289.33
going	5	709.45	1	270.87	10435.09	352.8	2812.95	45	1630.06	10	216659.42	30795.6	31294.61	5535.25	10859.67	2424.33
goods	5	52.35	9	9.79	10121.02	613.2	863.09	56	115.38	8.33	232081.01	31073.8	6601.12	1022.75	1222.04	117.33
grass	5	86.98	8	25.09	8982.27	583.2	1201.89	56.75	297.58	11	247229.47	39935	16654.42	3110.75	1482.36	428
great	5	639.73	3	15.27	8767.35	305.4	1607.14	45.5	912.1	9.67	324433.67	39926.2	33401.86	4619.25	4254.43	431.33
greek	5	56.99	4	46.33	9598.17	407	1184.28	40.75	459.54	8.67	280124.43	37615.4	19820.08	2505.75	1850.48	205.67
green	5	154.03	4	18.62	10259.43	418	1708.68	49.25	494.11	8.67	331240.8	44378	30831.63	3996.75	3116.55	236
group	5	306.33	1	1.25	5338.52	243.2	1651.21	42.25	374.94	6.33	169304.13	24814.4	18530.81	2175.75	2081.95	207.67
grown	5	58.18	8	19.63	5915.96	254.4	1235.02	46.75	420.12	11.33	205815.5	26638.6	11198.19	1538.25	2040.31	195
guess	5	60.27	1	25.46	8838.28	543.8	765.09	21.5	163.8	4.33	250131.65	40077.6	13416	4165	2532.21	875
hands	5	297.35	9	5.68	6686.76	607	972.35	66.75	421.07	13.67	268668.51	33044.4	38261.9	2822.25	12881.68	491.33
happy	5	133.98	5	0.36	4107.13	355.2	349.59	30	139.87	5.67	172677.16	19160	12324.29	1088.75	1347.85	152.67
heads	5	68.83	11	7.78	8244.81	592.8	1725.04	62.75	370.18	10.33	315582.11	37961.2	40588.52	2056	2036.77	289.33
heard	5	283.78	4	46.05	9326.59	377.2	2006.61	55.5	917.62	13.67	311416.73	35659	45199.21	2859.75	3918.47	489.67
heart	5	149.98	2	146.68	9274.06	365.6	2080.83	56.25	934.97	12.67	356571.85	39067	46333.92	2988.5	4198.01	445.33
heavy	5	136.48	2	4.34	6270.04	366.4	1338.36	39.5	401.54	5.67	253730.25	26491	37561.01	1561.25	1178.79	158.67
hills	5	51.28	15	5.39	8321.83	568	584.83	69.5	240.45	21	230787.23	34070.6	17376.14	2160.5	2703.27	313.67
hoped	5	61.58	11	3.81	10858.31	472	1181.93	94	106.93	12.33	266821.13	29318.4	20485.71	3328.25	1296.07	220.33
horse	5	87.87	8	82.86	11556.88	414.6	2377.81	54.75	200.43	8.67	319148.66	39882.4	24799.62	3245.25	1361.97	343.33
hotel	5	125.59	2	4.05	10101.43	452.8	1426.93	49.5	179.27	6	330268.89	35350.6	21681.35	3475.75	1225.59	201.67
hours	5	219.65	7	8.08	11249.49	595.6	2884.64	52	491.39	8.67	238472.41	30883.8	23049.62	2747.25	4611.2	286.67
house	5	563.93	6	16.74	11968.53	388	3676.95	53	707.51	8.33	294149.66	35706.8	26455.39	2809.5	4396.87	644.67
human	5	308.17	0	0	4059.34	240.2	698.4	24.75	439.71	4.33	226765.4	25279.4	21539.3	2515	1886.56	280.67
ideas	5	123.98	1	47.71	7166.89	446	686.8	26.5	203.78	3	327726.43	45159.8	22530.94	2726.25	3038.47	303
image	5	74.84	0	0	6967.99	271	461.72	19.75	122.4	2.67	279045.02	37037.2	11528.83	1871.5	1536.86	265.33
india	5	60.92	0	0	2533.05	132.6	292.9	12.5	81.07	2.33	289152.66	39747	36013.33	5198.75	2165.38	376
issue	5	90.9	0	0	5281.77	184	150.96	6.5	91.14	1.33	294414.16	46417	14412.55	2560.5	662.83	125.33
judge	5	55.92	3	1.76	5387.46	265.6	302.04	25.25	83.45	7.67	179019.85	24179.8	4418.02	796.75	409.94	118
kinds	5	61.63	9	12.45	6115.64	527	901.21	60	277.16	13	210684.04	32881.8	33620.49	4385.25	3023.22	436
kitty	5	54.26	4	1.77	5231.64	332.2	351.48	35.5	71.63	9	240137.55	27795.4	13747.75	1678	769.3	99.67
knees	5	56.46	2	1.67	10278.16	602.6	1345.92	102.75	105.92	5.33	324830.75	44357	19385.8	4459.75	732.99	96.33
known	5	260.58	1	127.2	4312.64	168.8	617.55	21.75	456.55	7	204003.73	24221.6	9270.49	708	2994.49	109.33
knows	5	127.2	4	68.67	5934.69	439	548.14	26	358.03	9	199405.46	26617.6	8646.15	716.5	2053.89	99.33
large	5	369.33	4	1.26	8600.4	423.6	1076.95	56.75	389.06	8	280003.88	38151.4	15572.72	2705	1491.13	214.33
later	5	431.02	10	47.72	9807.13	488	3310.65	93.25	1282.8	17.33	341638.87	42457.2	39585.85	7363.75	6704.28	1826
laugh	5	51.52	2	0.06	6378.21	324.4	425.6	29.25	86.76	4.67	199688.52	23760.4	8479.47	1427.25	1911.34	127.67
learn	5	113.51	1	1.43	8262.59	348.8	1941.92	55.75	843.82	12.67	320544.83	42590.8	22526.22	3443.25	3317.77	300
least	5	357.55	7	9.41	9047.28	364.4	2057.11	56.25	565.24	11	345804.25	44759.4	29611.26	4350	3268.99	424
leave	5	241.96	3	4.22	9304.76	380	1630.15	50	502.36	10.67	327104.81	40762.8	22209.05	2961.25	3401.66	231.33
legal	5	63.3	1	1.84	5546.03	264	887.56	30.5	190.91	3.67	265431.79	36149.2	16530.55	3050.75	597.82	148.67
level	5	186.03	4	2.22	8012.54	398.8	1436.1	43	555.76	7	284756.64	38255.8	20445.13	3010	3183.66	246.33
light	5	298.54	9	251.96	6473.75	241.8	2249.44	23.5	1841.78	8.33	239274.35	29010	11176.79	1916	4202.49	420.33
liked	5	100.25	8	23.7	9190.36	422.6	1339.7	90.25	306.05	11.33	238860.17	33494.2	18367.56	3453.25	2499.49	153.67
lines	5	83.41	19	13.86	10040.45	713	1662.45	133.75	187.38	19.67	309439.34	46194.4	39802.94	8485.25	3107.45	1362
