STRING	LEN	FREQ	Orth	Orth_F	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C	UN1_F	UN1_C	UN2_F	UN2_C	UN3_F	UN3_C
reach	5	94.59	8	17.13	7783.63	332.2	2554.71	64.75	272.93	8.33	301462.01	35948.4	28599.71	3745.5	3602.5	355.33
ready	5	129.34	4	5.09	6490.04	395.8	1310.37	53.25	221.43	7.67	278425.55	34992.8	25112.32	2939.5	3646.19	351
right	5	758.53	9	200.85	6266.05	241.4	2275.84	20.25	2003.22	8.67	253846.44	31012.2	11155.37	2003	4284.35	401.33
river	5	113.57	13	2.48	9134.78	408.8	3050.27	82	741.82	15.67	270728.78	39243.4	30391.44	5164.25	5375.67	720
rooms	5	79.72	10	5.25	9759.04	608.8	654.54	52.25	105.12	6.67	251119.58	34319.8	13502.61	1913.25	707.96	169
round	5	322.51	7	112.76	10897.17	380.8	3128.81	48	1062.88	9.33	227412.38	30244.8	30565.21	3014.5	4594.58	514
royal	5	74.31	1	11.54	6487.58	290.2	587.95	29.5	82	1.67	239518.84	30593.6	13713.04	2229.25	172.53	29.67
rules	5	70.62	8	6.5	8320.56	685.8	1152.6	115.5	213.52	13.67	263171.48	40306.4	19748.46	5114.75	1169.85	446.67
scale	5	70.68	6	3.42	11070.92	420.2	821.33	35.75	88.55	7.67	290694.41	41640.8	19436	3829	1621.14	496.33
scene	5	90.55	2	7.73	11294.62	381.8	392.41	28.5	100.54	1.67	341931.33	47867.4	22536.79	3601	1623.62	383.33
seems	5	230.18	8	6.22	10262.52	638.2	713.84	41.75	258.75	5	334549.04	48686.8	14419.81	1792	1537.57	66
sense	5	270.93	3	10.33	10383.95	457	1483.1	43.75	297.48	4.67	371348.85	53515.6	28214.4	4154.5	1597.12	339.33
serve	5	69.37	4	4.45	9914.04	434.8	597.2	38.25	86.72	5.33	318066.2	44562.4	30925.46	4448	1228.55	234.67
seven	5	117.2	2	1.7	9659.79	482.6	1764.79	42.25	612.1	6	326829.85	44468.6	27599.54	3310.25	3716.43	254
shall	5	224.29	6	96.11	11880.73	382.2	1362.06	50	525.48	10.67	246058.1	32769.2	26173.94	3049	4092.13	589.67
shape	5	66.45	6	28.63	12635.63	423.2	686.38	44	237.5	10.33	298014.8	36970.2	18166.41	2111	1136.17	173.67
share	5	91.32	15	20.68	14389.69	444.4	2458.46	62	346.03	14.33	330879.53	41596.6	35639.86	4046.5	3367.9	314
sharp	5	59.97	4	26.5	10581.53	351.4	1298.71	53	277.57	12	242337.55	32147.2	21529.59	2362.25	983.93	245.33
shock	5	55.63	6	23.83	10481.52	319.8	1320.47	46.5	328.98	10	195866.56	24857	11116.44	1761.5	1340.21	233.33
shoes	5	67.88	6	21.86	14934.74	753.8	1919.83	117	279.04	7.67	323314.04	42184.6	17899.04	4086	1271.9	130.33
shook	5	72.34	5	16.17	9321.87	321.4	1206.2	41.5	293.36	8.67	237163.9	26993.6	12130.84	1551.75	2227.63	218
short	5	194.36	7	21.49	12720.76	370.6	1409.26	44.5	387.81	9.67	293329.11	34832	20475.43	2490.25	2509.92	377
shown	5	84	5	14.1	9789.54	305.2	1364.65	42.75	469.62	10.67	242119.06	28081.6	12873.56	1391.25	2860.81	172
shows	5	68.36	13	17.07	11411.59	575.4	1295.23	47	371.1	12.67	237520.78	30477.6	12249.23	1399.75	1920.21	162
sides	5	67.46	12	4.97	11068.63	756	1544.68	114.25	108.53	13.33	304115.73	46957.2	20990.49	5025.75	2762.55	400.33
sight	5	97.45	10	247.15	7824.2	326.4	2233.51	21.25	1794	9	258011.82	33314.4	10009.06	1363.25	4096.49	392.67
signs	5	54.97	1	2.8	9709.67	624.8	1108.87	37.75	88.39	1.67	240722.26	41142.6	9366.48	2033.75	732.43	135
since	5	513.01	3	1.65	10347.42	446.2	1289.79	49.5	560.16	8.67	298759.29	44850.6	31043.38	5050.5	3899.06	609.67
sleep	5	125.17	6	13.93	10109.78	462.6	567.81	36.75	176.46	7	310983	44678.6	12387.72	2278	641.37	134
small	5	531.63	3	98.4	8193.35	346.6	1108.23	23.5	620.37	2.67	217661.05	33239	17754.2	2866.5	4163.46	557.67
smell	5	63.54	5	119.83	8901.15	305	811.7	20.75	91.86	4	245562.22	37557.2	16998.7	2390.25	1300.35	268.67
smile	5	98.58	2	0.68	11951.44	396.6	1359.54	31	332.84	4.33	272639.53	41365.6	13310.75	2774.5	1418.51	192
smoke	5	59.08	4	31.62	8952.49	369.6	539.29	16.5	132.07	5	248398.9	33495.8	7094.57	1056.25	542.59	87
sorry	5	103.46	2	41.47	10641.22	510.2	1229.72	44.5	251.56	8	230480.23	34393.2	15670.3	1786.25	703.36	137
sound	5	167.23	7	134.94	12455.32	465.8	3086.93	44.75	1051.79	9	231577.76	32547	28459.08	2416	3524.75	417
south	5	196.86	4	51.03	10430.18	436.4	2846.37	43	452.76	7.33	268330.12	30656.4	49556	1998.75	2959.94	239
space	5	128.15	6	7.87	10327.01	402.6	1290.64	40.25	387.58	8	272401.78	39016.6	11670.99	2016	1148.37	188.67
speak	5	122.08	4	5.98	7110.82	294	973.45	36.5	284.91	7.33	255301.2	35506.2	12474.16	1862.75	1468.22	218.33
speed	5	77.4	3	28.14	11700.86	478.4	1356.7	93	222.09	7.67	310257.67	43045.4	18904.98	3247	1507.65	210.33
spend	5	82.34	3	73.06	9969.06	352.6	881.28	34.25	273.73	7.33	263344.07	38128.6	27757.51	3247.5	2462.37	397.33
spent	5	141.77	3	33.53	9916.53	341	891.23	38.75	322.77	7	308499.19	41536.6	23559.5	3741.75	6383	916.33
spite	5	52	8	4.86	10582.76	416.6	1049.03	41.25	403.36	9	312240.75	43436.6	20386.26	3533.75	1448.01	294.33
spoke	5	119.46	6	10.68	8963.1	378.6	545.3	30.25	194.1	7	243570.33	33792	7498.48	1275.5	844.2	146.33
staff	5	116.19	2	45.07	5740.11	284	1240.94	36.75	431.1	9.33	245472.84	29341.8	13965.39	2718.5	1893	327.67
stage	5	137.07	7	49.32	9786.08	400.4	1419.32	45.75	471.92	10.67	328599.05	42228.4	16828.04	3250.75	2826.58	464
stand	5	138.5	2	1.93	10016.04	397	1793.38	51.25	467.87	10.67	298165.32	38209.4	39696.55	4523	13324.7	674.33
stars	5	53.13	11	22.62	10341.27	619.2	2173.3	63.75	814.22	16.67	308864.47	44240.8	23686.44	4484	2721.28	455.67
start	5	199.54	4	25.43	9911.3	373.6	2038	52.75	612.76	11.33	334556.79	41711.2	22928.33	4020.5	3450.06	526.33
state	5	301.03	8	23.8	10624.74	440.2	1771.22	50.25	573.13	12.33	390234.05	46534.2	31788.81	6145.5	4833.33	1275.33
steps	5	72.46	7	5.05	9295	556.4	1107.04	55	151.17	9.33	303900.92	43932.6	18460.85	3971.75	1354.09	347.33
stick	5	54.08	6	21.02	8384.86	302	2410.66	44.5	444.55	7.67	221823.37	33037.6	22301.99	5074	2795.27	787.67
still	5	923.92	6	8.65	9671.55	337.6	2250.91	46.25	979.95	8.33	260284.04	39235.6	25324.27	5120	3599.65	595.33
stock	5	63.9	6	27.58	7559.53	296	1380.41	45.25	335.76	10.67	225363.37	30022	20724.88	2913.75	1108.61	315.33
stone	5	88.88	8	13.91	11407.39	405.6	1591.12	48.25	408.04	12	357409.13	44953.6	35718.64	4995.5	3224.21	418.33
stood	5	224.88	3	4.24	8305.76	344.8	1344.58	40.5	447.35	9.67	293716.01	35379.6	22256.45	2829.75	2157.39	254.33
store	5	57.59	13	29.8	11355.18	393.8	2403.17	48.75	363.28	12	348645.47	45047.4	41890.99	5041.25	3235.51	561.33
story	5	164.14	4	23.66	8501.06	388	1566.79	48.75	387.36	9.33	260337.94	34165.8	29529.69	3455.25	1940.16	465.67
study	5	136.48	1	2.08	6824.84	340	1072.34	39.25	179.21	4.67	203996.31	27564.2	11178.98	2164.75	692.91	97.67
stuff	5	63.06	4	36.34	5410.58	227.6	1011.47	31.5	132.19	5.67	192697.76	24661.4	11394.97	2219.25	570.44	145.67
style	5	89.54	4	4.66	9758.67	329	1373.17	36.75	89.54	1	285397.89	38196	16663.07	3296.5	163.43	49.33
sugar	5	55.92	0	0	7004.54	340.4	320.15	19.25	60.48	1.33	218065.1	33457.2	13026.27	1961.5	350.47	81.33
table	5	211.91	4	3.99	11524.98	409.4	832.04	33	237.22	5.67	306319.59	36704.2	14392.04	3036.5	2862.36	675.67
taken	5	343.99	5	25.8	10186.12	461.4	1319.31	43.75	526.59	10.33	322621.91	37509.2	18726.3	2797	1801.34	157
takes	5	118.15	17	34.91	11808.17	731.6	1680.73	117.25	532.82	17.33	318023.63	39905.2	16598.66	4237	1730.72	164.33
taste	5	58.78	6	14.2	10323.38	437.6	921.81	47	135.76	8.33	390234.05	46534.2	28617.52	4957.5	2400.97	565.33
tears	5	58.72	14	71.54	12054.87	636.2	2153.32	67.5	954.05	16	360376.34	46761.6	26227.94	4624.5	2922.13	289.67
teeth	5	82.1	1	10.53	10412.3	343	825.77	36.25	88.25	2.67	414330.73	43157.8	47314.02	3366.25	1269	161.33
terms	5	154.62	5	4.88	9633.34	582.6	526.63	42.5	216.73	6.33	304564.11	41334.2	26440.7	5009.75	3816.14	853.33
thank	5	69.49	3	267.28	11851.94	306.2	3472.52	46.25	100.11	8.33	267305.54	27293.8	57937.06	2530.25	6097.57	223.33
their	5	2947.33	0	0	13663.72	272.6	6437.62	20.75	4444.17	3	341300.98	40368.4	64964.25	1668.75	30509.22	218.33
there	5	3232.06	4	571.26	15917.27	335.4	7335.19	38.25	5323.83	4.33	384473.02	43385.2	91548.81	5752.5	38392.16	688.33
these	5	1223.29	3	1375.04	15509.88	326.4	6414.58	39.75	3317.43	4.33	388638.4	45687.4	76911.51	5027.75	30076.51	425
thick	5	67.88	3	274.36	12126.63	258.4	5637.41	40	1733.84	7.67	218018.88	25343	44955.31	2345.5	4789.58	274
thing	5	451.31	5	161.61	12825.38	270	6515.73	52.25	1891.49	14.67	262610.09	30918.4	68033.13	6212.25	15085.72	2610.33
think	5	800.3	6	98.75	12564.75	285.4	5784.17	50.75	1278.96	10.33	252034.67	28595.2	59577.02	4348	5663.49	330.67
third	5	197.46	0	0	14418.41	320.8	4604.92	34.75	665.05	6.33	270326.31	31910	43110.96	1595.5	3421.96	142.67
those	5	866.22	4	371.77	14689.56	341.2	4702.59	42.75	1145.47	6.33	349006.36	39655	45966.86	2249.25	2844.9	200
three	5	629.61	1	49.97	16252.31	484.8	3304.64	33.25	703.74	4.67	384473.02	43385.2	50557.39	2763.25	1960.35	187
times	5	347.62	12	1.87	11938.27	691.2	1513.76	108.25	485.96	10	317069.32	43140.4	26580.54	6103.25	2576.83	219.67
tired	5	70.26	9	6.56	12662.26	505.4	1554.65	97	143.93	12.67	325642.67	42125.4	34988.52	6023	2173.73	394.67
today	5	224.7	2	0.06	9409.58	392.4	413.46	27.25	225.04	2.67	268651.21	28733	14773.36	1169	825.36	37.33
total	5	138.38	1	1.07	9768.12	340.6	695.19	37.75	175.8	4.33	331864.54	36197.4	25187.42	2953.75	901.49	197.67
touch	5	97.87	4	14.4	11707.02	334.2	3404.8	51.5	120.22	3.33	238912.6	25008.2	25899.9	2227.25	993.73	104.67
trade	5	162.65	2	20.44	11294	393.8	841.18	53	250.33	7.67	340913.54	40824	16530.57	3482.75	2304.69	519
train	5	74.43	6	22.76	9408.5	333.6	1281.44	54.75	554.73	11.33	321802.58	41348.8	30499.02	5593.75	3539.76	603.33
trees	5	125.29	6	4.7	14118.58	706.8	1968.76	123.5	260.9	9.67	388277.52	51079.8	30373.95	5847.75	1719.5	280
trial	5	57.05	2	0.89	9520.59	321	1048.38	51.5	160.97	7.67	298466.83	39440.4	17353.87	3724.75	2022.61	508.67
tried	5	215.07	8	14.52	13746.16	493.6	1586.39	106.5	363.54	14.67	325642.67	42125.4	20760.49	4757.5	2258.33	521.33
trust	5	68.06	3	2.74	10459.89	299.8	1199.82	40.5	156.33	6.33	281781.72	37030.8	16469.08	3320.5	1855.54	296.67
truth	5	130.59	1	0.12	8946.88	302.8	1032.14	39.25	319.5	5.67	277977.23	29336.2	39916.4	1911.25	822.96	149.33
twice	5	77.7	2	1.22	11719.61	309.4	1659.42	24.75	221.11	5.67	285571.96	35530.8	13134.36	1773.75	1010.64	132.33
uncle	5	61.58	0	0	7529.62	228.2	842.71	17.5	70.94	1.67	242517.61	34564.4	13831.26	2781.5	980.92	200.67
under	5	569.05	1	1.13	7361.36	303.4	2717.73	67.75	740.39	6.67	267044.42	36277.2	36396.9	5120.75	4025.4	827.33
union	5	197.75	1	10.05	5545.9	196.2	570.13	20	229.94	3.33	263978.67	35592.6	21733.4	3935.25	5638.31	1074.67
until	5	464.76	0	0	4142.87	157	786.93	15.25	464.76	1	254455.41	34666.2	22165.29	4501.5	2380.54	441.33
upper	5	56.76	1	0.3	6894.62	295.6	2016.98	62.75	119.03	5	207848.74	30753.6	22454.02	3839.5	2479.12	492
using	5	128.92	0	0	6416.66	177.6	2277.22	33.75	1012.25	8	211557.89	34664.8	36917.68	6553.5	11185.83	2577.67
usual	5	106.49	0	0	4525.81	157.8	455.95	17.5	127.65	2	210271.31	31812.6	14822.34	2399.25	988.21	92
value	5	113.16	3	9.68	7235.35	368.2	313.12	24.25	119.62	3	246428.57	31764.2	10190.28	1864	510.96	108.67
visit	5	102.21	0	0	6102.9	261.4	338.5	24	104.87	2.33	261579.82	38301.4	23765.23	3056	1360.16	239.67
voice	5	241.9	1	0.3	12542.51	397.6	2090.89	26.75	316.52	4	261521.85	34688	10324.12	1789.75	1171.18	115.67
walls	5	81.74	12	14.93	10425.2	626.2	869.59	77.75	278.94	21.33	215581.21	31277.6	19145.03	2522.75	3851.42	529
wants	5	106.08	10	2.79	9336.23	645.4	842.06	90.5	138.32	12.67	283346.74	34960.8	30748.51	3492.75	2607.23	552
waste	5	63.84	5	15.42	10005.76	413	959.44	47	131.99	8.33	330260.34	39877.6	29873.77	4443.5	6080.15	561.67
watch	5	110.6	8	22.42	8513.32	311	1819.15	52	403.74	11.33	245526.46	24014	21160.59	2890.25	945.26	232.33
water	5	447.86	8	55.15	11659.74	480.6	3313.48	93	1312.63	16	326094.96	37575.4	40984.59	6740.75	6161.11	1587.33
weeks	5	156.41	6	4.58	10807.75	557.6	584.26	52	170.7	5.67	285951.1	37566.8	8121.98	767.75	780.64	60.33
where	5	1034.58	2	1618.65	15599.65	310.8	6192.91	37.5	3209.32	4	324499.32	36728.6	64495.04	5344.5	11394.13	528
which	5	3330.76	0	0	12584.92	243.8	5308.79	45	3704.26	5.67	200758.78	20150.4	20926.37	2179.75	4006.64	116.33
while	5	640.68	5	159.86	16140.98	340.2	4315.83	44.75	2076.97	8	266755.19	31709.6	22327.01	2576.25	2987.47	208.33
white	5	383.85	3	252.61	14761.7	351.2	3971.21	39.75	1941.41	8	311184.98	33484.4	29892.27	3352	2729.69	219.33
whole	5	399.85	5	176.27	15315.65	334.2	2698.74	34.5	481.87	4.33	270295.19	28694	18999.7	2460	2747.28	198.67
whose	5	229.28	5	261.19	14371.94	316.6	3560.31	42	1066.43	7.33	289032.66	32998.4	18913.09	1841.25	3377.37	146.67
woman	5	347.26	2	280.63	9247.45	304.6	2131.51	25.25	651.25	4.33	237332.72	26754	27155.26	2701.25	2108.21	319.33
women	5	520.8	3	120.35	11931.6	441.8	2519.83	35	716.39	6.33	265233.89	31072.2	25033.91	2830.5	4730.11	515
words	5	261	9	18.1	11411.85	604.2	2450.57	54	722.42	10.33	217697.1	29932.4	14239.14	1694.75	2216.64	249
works	5	89.24	4	69.03	11233.77	610.2	2229	63	558.95	10	190641.8	26711.4	12907.52	1457.5	1875.17	179.67
world	5	739.2	1	2913.48	13029.95	397.2	3796.43	31.5	969.47	4	198959.63	25628	15394.26	1421.5	1709.94	106
worry	5	75.32	4	27.95	11143.39	418.2	2373.87	41.5	683.31	10	196198.85	25207	14663.54	1632.25	1638.73	175
worse	5	94.24	6	25.26	13590.11	415	3378.01	49.25	643.51	10.33	288671.77	38390.8	22037.1	2906.5	2184.26	328.67
worst	5	60.8	2	47.21	12033.71	368	2859.06	43	995.87	8.33	262852.22	33340.4	23446.14	3689.75	2165.46	280.67
worth	5	99.11	2	94.12	10520.7	371	2647.61	43.25	775.09	9.67	259047.73	25645.8	45908.72	2072.25	2761.04	335
would	5	2913.48	4	670.54	13441.59	370.6	6221	32.5	4205.45	4	173960.63	21452.4	18522.75	1555	4994.14	45
write	5	113.27	4	128.5	12305.43	386.4	1286.52	46	437.95	6	310824.09	38876.8	23203.23	4131.25	1929.83	295
wrong	5	197.93	3	1.67	9226.16	274.6	1976.78	46	535.47	7	205815.5	26638.6	26616.45	4655.5	1423.7	211
wrote	5	128.27	2	56.67	11480.1	380.4	1107.29	45.75	201.2	4.67	314364.09	35861.2	17988.35	3221.25	772.08	156.67
yards	5	53.96	5	8.31	7173.27	585.6	1031.04	56.25	202.69	8	226913.68	32472	10847.25	1764.5	1456.66	293.33
years	5	899.53	12	11.73	9361.53	580.6	2238.09	60.5	1214.88	15.33	297888.35	40930.4	18853.28	2811	3078.97	252
young	5	446.79	0	0	8936.52	280.2	3696.99	41.75	909.68	7.67	178302.22	23288.4	25038.85	3469	4894.83	220
youth	5	63.48	3	112.48	8556.62	313.4	2807.14	36.5	511.5	6.33	231534.45	22295.6	48539.37	1728.25	5562.53	213.33
