Remove	STRING	LEN	FREQ	Orth	Orth_F	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C	UN1_F	UN1_C	UN2_F	UN2_C	UN3_F	UN3_C
0	plape	5	NA	4	157.52	8329.88	377.2	777.27	39.5	320.03	7.67	246051.72	33431.8	10785.89	2256.25	1352.67	229.67
1	plast	5	NA	5	17.3	8120.14	342.4	1527.62	51.5	587.15	12	257262.28	35310	22197.29	3495	2615.58	460
0	poild	5	NA	0	0	12639.57	437	2867.8	36.25	296.45	4.33	208716.11	29691.8	9826	1364.5	952.12	103.33
0	poind	5	NA	2	202.31	12155.47	440.2	2176.65	47.5	603.51	3.67	232051.86	31600.2	34737.66	4519.25	2267.55	269.33
0	poing	5	NA	3	448.16	10510.22	377.6	2825.94	51	1515.6	10.33	215571.99	30702.4	32334.05	5842.75	10877.85	2451
1	poisy	5	NA	4	3.93	10345.61	449	778.48	35.25	166.26	3.33	210120.72	31573	12149.63	1889	355.98	74.33
1	porks	5	NA	9	13.25	9389.41	641	1129.14	70	90.19	8	187893.08	28969	13001.65	1777	1342.71	184.67
0	pould	5	NA	4	1217.77	11597.24	401.4	5121.14	39.5	3241.33	5	171211.91	23710	18616.88	1874.5	4147.62	68.67
0	prear	5	NA	1	0.24	8741.55	321.4	1257.69	44.75	508.01	8	293488.54	40060.4	31700.88	4230	5546.95	654
0	prese	5	NA	2	71.75	10891.63	367.8	2119.06	47.5	558.66	4.67	325555.09	46680.8	33211.33	6169.25	4186.82	773
1	prisy	5	NA	3	2.14	8042.53	382.8	665.08	48.25	138.12	8.67	194075.51	32782.4	16621.67	3136.25	1182.97	262.67
1	prive	5	NA	7	54.12	9597.73	357.2	856.38	47.5	182.76	8	237864.06	34617	16819.96	2960.25	2816.7	477.67
0	prood	5	NA	3	25.07	7429.29	342.6	888.33	43.5	207.27	10.67	226828.21	28678.4	12341.55	2071.25	2849.01	464.33
0	prote	5	NA	6	35.33	9635.74	411.2	1131.08	52	147.34	9.33	311615.37	38118.8	20504.12	3727.75	2372.71	443
0	proth	5	NA	4	1.06	7001.91	338.6	1123.03	52.25	124.76	10.67	256299.01	27903.4	43780.69	2338.75	3652.32	447
0	proup	5	NA	3	115.73	5413.65	268	1384.52	40	284.22	8	168216.7	24721.2	19899.72	2422.5	3317.1	444
0	prout	5	NA	2	36.41	7665.41	314	1907.8	42.75	980.6	10.33	230939.13	29120.2	22809.48	2656.5	5434.5	594.67
1	queud	5	NA	1	10.11	6996.37	252.4	267.41	15	33.1	3.67	185504.04	24542.4	2611.43	667	420.46	124.67
1	quich	5	NA	1	69.49	6742.41	251.4	2544.98	40.25	1360.52	6	157737.17	20598.2	10789.32	2055.25	1878.32	156
0	quide	5	NA	4	127.15	8302.94	320.8	588.03	27.75	281.96	8.67	223008.25	30524.2	9869.12	1848	2077.37	302
1	quile	5	NA	5	95.41	10298.47	347.8	1552.02	40	554.35	9.33	223733.58	32157.4	12189.96	2451.75	1439.43	252.33
